datetime,high,low,close,open,volume
07-11-2018,6615.15,6475.6,6577,6491.36,15470.08082
08-11-2018,6594,6471.22,6492.98,6577,12487.08306
09-11-2018,6515,6391.01,6426.32,6492.98,12403.44903
10-11-2018,6475.55,6391.5,6447.78,6428.62,8125.677398
11-11-2018,6465,6355,6412.36,6450.04,7695.843226
12-11-2018,6497,6404,6439.03,6410.24,10183.21334
13-11-2018,6498,6391.15,6457.34,6440.5,11216.77521
14-11-2018,6492,5829.67,5880,6457.34,33919.57963
15-11-2018,5939.54,5403.42,5673.89,5876.84,57068.20845
16-11-2018,5782.89,5560.05,5656.76,5673.95,36021.02886
17-11-2018,5668.91,5549.25,5606.23,5657.2,29942.79089
18-11-2018,5688.84,5588.89,5679,5607.34,22241.09961
19-11-2018,5738.17,5050,5058.32,5679.98,55986.71729
20-11-2018,5134.57,4405,4729.51,5055.96,109069.8328
21-11-2018,4787.2,4326,4556,4727.9,78412.21259
22-11-2018,4721.77,4469.84,4532.45,4555.98,36743.68955
23-11-2018,4580,4222.94,4349.56,4533.99,51174.12363
24-11-2018,4527,4324.15,4341.42,4348.61,34140.52312
25-11-2018,4353.55,3652.66,3860,4340.87,109551.2561
26-11-2018,4233,3701,3958.5,3862.58,99919.6181
27-11-2018,3987,3689.12,3834.01,3954.51,76195.82704
28-11-2018,4315,3790,4301,3835.89,82908.84943
29-11-2018,4450.38,4125.65,4271.96,4301,83777.45881
30-11-2018,4341.36,3943,4037.02,4271.98,72115.85917
01-12-2018,4299.99,3951,4245.08,4036.12,45622.67227
02-12-2018,4312.99,4103.04,4162.22,4245,37978.48083
03-12-2018,4268,3827,3901.32,4162.61,50604.05208
04-12-2018,4085,3781,3960.04,3901.32,49115.91118
05-12-2018,3980,3745,3797.99,3960.04,43565.76565
06-12-2018,3899.99,3613.13,3658.6,3797.99,61226.65162
07-12-2018,3700,3224.6,3255.01,3660.05,85056.83918
08-12-2018,3549.99,3222,3404.94,3255.01,64898.57363
09-12-2018,3658,3276.47,3585,3403.6,53035.28324
10-12-2018,3610,3400.12,3426.29,3585.03,39612.905
11-12-2018,3480,3324.32,3375.08,3423.19,38048.29048
12-12-2018,3492,3350,3459.98,3374.2,36131.94051
13-12-2018,3472.73,3362.93,3397.11,3460,29221.80143
14-12-2018,3399.2,3200,3217.98,3397.14,49689.62041
15-12-2018,3281.87,3156.26,3182.73,3217.98,33394.8015
16-12-2018,3294,3180,3235.9,3183.9,26649.54663
17-12-2018,3547,3215.2,3539.35,3236.9,50164.56831
18-12-2018,3585,3424.47,3503.09,3540.06,65888.94959
19-12-2018,3912.73,3500.04,3774.55,3503.02,94417.95085
20-12-2018,4120,3630.23,4003.17,3773.98,98389.16105
21-12-2018,4139.99,3860,3916.76,4007.59,85096.2412
22-12-2018,3938,3764,3850.27,3916.76,49848.64998
23-12-2018,4021.53,3819,3953.29,3852.35,44169.00273
24-12-2018,4198,3888,4032.98,3953,60156.38705
25-12-2018,4066,3646.41,3706.29,4032.98,62563.11475
26-12-2018,3837.15,3656.74,3733,3705.35,44581.49999
27-12-2018,3813.98,3670,3715,3732.71,35993.15472
28-12-2018,3869,3535,3816.89,3715.9,52619.04017
29-12-2018,3892,3756.2,3791.85,3816.29,37490.70668
30-12-2018,3903.5,3657.9,3781.71,3791.86,37549.22849
31-12-2018,3823,3692.11,3741.52,3781.77,28886.51618
01-01-2019,3756.94,3630.33,3659.41,3741.27,22958.29595
02-01-2019,3865.72,3659.56,3828.87,3659.56,36236.18181
03-01-2019,3882.14,3730,3757.89,3827.22,32564.54456
